uid,use_coupon_percentage
6161511,0.01
4719725,0.01
3409016,0.01
6247956,0.01
2229374,0.03
1967238,0.01
6750401,0.01
3933320,0.01
263306,0.02
6816908,0.01
5375119,0.01
3671191,0.02
3933341,0.01
6685854,0.01
5112996,0.02
6685862,0.02
1616753,0.01
656552,0.01
1311918,0.04
5658141,0.01
656570,0.01
3278012,0.07
3910517,0.01
4850884,0.01
4195525,0.03
3409094,0.01
6503176,0.02
7079119,0.01
1574099,0.01
5375194,0.01
5652095,0.01
656605,0.01
2098401,0.01
852177,0.01
525546,0.01
4588779,0.01
3671278,0.03
3802358,0.01
2491641,0.01
7079162,0.01
1967355,0.01
5899518,0.01
3540224,0.02
1878912,0.01
4588813,0.01
2753807,0.01
4588817,0.01
787730,0.02
6030611,0.01
4195604,0.01
1302,0.01
1967385,0.01
3671327,0.02
7341344,0.01
4850981,0.03
1318,0.02
1312041,0.01
3147050,0.01
5768491,0.01
4850993,0.01
5506363,0.01
4982076,0.02
4719937,0.01
3147079,0.01
6554952,0.01
5113162,0.01
6554956,0.01
4851021,0.02
7079246,0.01
4195663,0.01
525648,0.01
6030676,0.01
7079253,0.02
349207,0.01
4915429,0.01
615443,0.01
4719973,0.02
3802472,0.01
2753899,0.01
3671405,0.01
5375345,0.01
1836404,0.02
525689,0.01
3802494,0.01
1705343,0.05
4064642,0.01
1836422,0.02
1181068,0.01
3802512,0.01
3278226,0.01
7079319,0.02
3016088,0.01
525722,0.01
7079323,0.01
6292893,0.02
1443232,0.01
6161831,0.04
6817194,0.01
3540396,0.01
787888,0.02
1312178,0.02
394676,0.01
3845022,0.02
2162932,0.01
5637563,0.03
3933631,0.01
2491840,0.01
3561035,0.02
4982212,0.01
5113288,0.01
1836492,0.07
3016143,0.07
5637584,0.01
2229713,0.01
6161874,0.02
2754004,0.01
3278293,0.02
3802584,0.02
6555098,0.01
7231055,0.02
6686174,0.01
2491872,0.01
263651,0.01
2885098,0.01
6161902,0.01
655613,0.01
1705456,0.01
2491890,0.02
1332819,0.01
263670,0.01
5614506,0.01
1536,0.01
5768708,0.01
7079431,0.01
3933704,0.03
2360841,0.01
2360850,0.01
3671577,0.01
4982298,0.05
1574434,0.01
5439750,0.02
3802664,0.01
6948405,0.01
525882,0.06
6161981,0.01
3802686,0.01
4851266,0.01
3540547,0.03
2885192,0.02
3671625,0.01
1574474,0.01
7079499,0.02
656973,0.01
4064846,0.01
3278415,0.02
1836624,0.01
3278417,0.01
6424146,0.01
3671636,0.01
2949391,0.02
3278429,0.02
6686308,0.03
4720237,0.01
2229873,0.01
1574514,0.01
3540597,0.01
919161,0.01
2885243,0.01
6030972,0.02
6728640,0.01
7341700,0.02
3933830,0.02
1673,0.02
2754186,0.01
263822,0.01
5637775,0.02
1836693,0.02
2229910,0.02
2360984,0.01
525977,0.01
5768859,0.01
7341727,0.01
4851360,0.02
4851368,0.02
6293161,0.02
4720299,0.01
4064942,0.01
5899959,0.04
3147451,0.01
4064958,0.02
5506761,0.01
4458188,0.02
7341773,0.01
2492110,0.01
1748,0.04
4851413,0.01
4851416,0.01
132826,0.02
7341788,0.02
6424286,0.02
5768927,0.01
263904,0.01
1762,0.01
5637860,0.02
43985,0.01
5506796,0.01
5506797,0.01
6293230,0.02
2492147,0.01
1050357,0.02
2885371,0.01
7079677,0.02
4982528,0.01
2230017,0.01
1312515,0.01
657156,0.03
7210763,0.01
1050380,0.01
4589327,0.07
4720402,0.01
3933983,0.01
7341856,0.01
4065057,0.01
2885412,0.01
6555430,0.04
3802920,0.01
4720426,0.01
2230067,0.02
4851508,0.01
48071,0.01
3540792,0.01
1574716,0.01
87690,0.01
6162239,0.02
4910147,0.01
3147588,0.01
1705804,0.01
4720461,0.01
7079759,0.01
5342235,0.01
132945,0.01
6817619,0.02
5769045,0.01
1312602,0.01
2754395,0.01
3147612,0.02
6686557,0.01
3016548,0.01
3147632,0.01
6686587,0.01
2492298,0.04
3016588,0.01
6162320,0.01
6686611,0.01
5769111,0.01
270665,0.01
3540898,0.01
1050534,0.01
5244842,0.04
2950481,0.01
3934131,0.01
2099124,0.01
4589498,0.02
657339,0.01
133053,0.01
4458431,0.01
5243211,0.01
5507014,0.01
4458442,0.01
6686674,0.04
1574867,0.01
3016662,0.01
4589529,0.09
5638109,0.01
2754526,0.03
2361318,0.01
4720615,0.05
3016680,0.02
919532,0.01
6817779,0.01
6424569,0.01
2754554,0.01
3342677,0.01
1837061,0.01
2754567,0.01
5244936,0.30
4851721,0.01
5244939,0.01
3147799,0.01
5638183,0.01
5769256,0.01
5769257,0.02
3016746,0.01
5638190,0.01
1837112,0.03
6686780,0.02
1574973,0.01
2623551,0.01
1574976,0.01
7080003,0.02
2361413,0.01
2099270,0.02
788556,0.02
5507150,0.01
5376080,0.02
5507154,0.01
919637,0.01
5769306,0.03
4065375,0.01
6686817,0.01
4851812,0.03
6293605,0.01
5113958,0.01
5245038,0.02
919668,0.01
2230391,0.01
1050744,0.09
3672187,0.01
6553962,0.04
919678,0.01
4982911,0.01
7080065,0.01
788612,0.10
5245066,0.01
306199,0.04
4851864,0.02
4065439,0.01
6949024,0.01
1968289,0.01
526498,0.02
5376165,0.01
657575,0.01
4458664,0.01
1444011,0.03
4851885,0.04
2230450,0.01
2227,0.02
133302,0.01
6555835,0.01
788670,0.01
4458690,0.01
5900484,0.01
1575109,0.02
5507271,0.02
5245129,0.01
5769422,0.01
657619,0.01
3016917,0.01
2266,0.02
2492639,0.01
3541216,0.01
395492,0.02
4327655,0.01
7080168,0.02
1181930,0.01
6555890,0.02
1313011,0.01
6818038,0.01
6555895,0.01
526593,0.01
5900548,0.01
5636482,0.02
3279120,0.01
264470,0.02
5376284,0.02
2623775,0.01
1968416,0.01
2754852,0.01
5769509,0.01
5245226,0.01
7342381,0.01
2230576,0.02
6424883,0.01
4129162,0.01
7211333,0.01
3672394,0.03
4458827,0.01
7165666,0.02
6555982,0.01
919887,0.02
2754905,0.01
3017056,0.01
6293857,0.02
3279208,0.02
395626,0.01
4065646,0.01
3541372,0.01
5245309,0.01
6687103,0.01
657792,0.01
2623873,0.02
3867046,0.01
3148171,0.01
2099600,0.01
3473817,0.03
1313176,0.01
4589983,0.01
3803556,0.03
2754982,0.01
6424999,0.03
3017132,0.01
4544242,0.03
264623,0.01
3541424,0.01
1837489,0.01
526773,0.01
3910729,0.01
4590008,0.02
4196796,0.01
2755007,0.02
2361794,0.02
4721093,0.01
395720,0.01
6031817,0.02
3279307,0.04
5114317,0.01
5245390,0.01
6293967,0.01
3410385,0.01
3541464,0.01
6162905,0.01
3672539,0.01
5900767,0.02
526821,0.01
3803622,0.01
6162919,0.01
6162920,0.01
5900782,0.01
4590071,0.01
6204500,0.01
6949378,0.01
526854,0.01
5638664,0.02
7080461,0.01
4983312,0.01
6556181,0.01
1182231,0.02
657946,0.02
5245467,0.01
4459041,0.01
3803686,0.02
2624041,0.01
7080492,0.01
3934765,0.02
526899,0.01
2492981,0.01
7211575,0.01
133688,0.01
44128,0.02
3410498,0.02
5898678,0.01
1706566,0.01
3058786,0.03
1051217,0.01
6294098,0.02
133718,0.02
5900887,0.01
1706585,0.02
2230882,0.01
658019,0.01
7080548,0.01
2272358,0.01
2099816,0.02
2886258,0.01
6687347,0.01
1575546,0.01
6425212,0.01
6556287,0.02
5376641,0.01
4459138,0.01
7342727,0.01
371820,0.01
3803787,0.01
3017360,0.01
264853,0.01
3017366,0.01
4988737,0.01
1575583,0.03
3803818,0.01
4459182,0.01
920240,0.02
3410609,0.01
929734,0.01
1444541,0.01
4500597,0.01
2099904,0.01
133825,0.02
264901,0.01
5900998,0.01
395979,0.01
527054,0.01
2141304,0.01
7080658,0.01
1706709,0.01
2099926,0.01
2099933,0.01
5245663,0.02
5114592,0.04
4590306,0.04
1444579,0.02
1313508,0.01
6556392,0.01
1182443,0.01
6294257,0.07
3279611,0.01
6163199,0.01
3934978,0.01
5769989,0.01
4066057,0.02
3410702,0.02
4066063,0.01
5245713,0.01
6556435,0.01
2100000,0.01
3803937,0.01
7187590,0.01
1051432,0.02
1182507,0.01
133937,0.01
4328246,0.02
4721465,0.01
6032189,0.02
3672898,0.01
6818631,0.01
3148617,0.01
1575754,0.02
920395,0.01
3148620,0.01
3736034,0.01
4066128,0.01
1575763,0.01
1182554,0.01
133986,0.01
5507939,0.01
7211878,0.01
2493289,0.01
1969004,0.01
2624366,0.01
4852591,0.01
6619624,0.02
3935091,0.06
4197236,0.01
5114742,0.01
4983672,0.01
2755460,0.01
658309,0.01
2755462,0.01
4721554,0.01
4675395,0.01
5112303,0.01
6818719,0.01
5639075,0.01
6818724,0.01
5376934,0.01
1182635,0.01
1313713,0.02
1051570,0.01
5376947,0.01
3410869,0.01
5376950,0.03
5901239,0.01
5639097,0.03
2231228,0.01
6949830,0.01
3804104,0.02
658378,0.01
2755532,0.01
6949837,0.01
5639123,0.01
3279829,0.02
527321,0.02
5639136,0.13
6818792,0.01
6556654,0.04
1313776,0.01
3057,0.01
7080948,0.01
3279861,0.01
1969147,0.01
5770236,0.01
6926596,0.01
6423041,0.03
1182728,0.01
481111,0.04
2886668,0.06
5639187,0.01
6425621,0.01
6379353,0.05
3017754,0.01
829362,0.04
4328482,0.01
6163491,0.01
240817,0.01
2100270,0.01
4260360,0.01
265268,0.01
2231349,0.01
1575993,0.01
4631733,0.03
6379360,0.02
1969218,0.01
3804229,0.01
7212102,0.01
789580,0.01
5246029,0.08
1051729,0.01
1838165,0.01
1136484,0.01
6556765,0.01
2381669,0.01
5901411,0.01
3211794,0.03
2905960,0.01
7212146,0.01
3867155,0.01
2755702,0.01
3017849,0.02
2362491,0.03
6818946,0.01
5246085,0.01
6163594,0.01
6818955,0.01
3280014,0.04
4197522,0.04
4590742,0.03
4066457,0.01
1576093,0.05
4721827,0.01
2624676,0.02
1838247,0.02
5115050,0.01
3017900,0.01
1182893,0.01
4459697,0.01
4197558,0.01
4197564,0.02
3280062,0.01
2886850,0.01
2100420,0.01
3779789,0.02
5115090,0.01
6950101,0.01
2231510,0.02
1182941,0.01
6488613,0.07
2362596,0.01
7081192,0.01
5770477,0.01
2231538,0.01
1314035,0.04
2755828,0.08
6687996,0.01
2100487,0.01
5549271,0.01
2886925,0.01
4197649,0.02
3411221,0.01
1314070,0.01
1182999,0.01
5770526,0.03
6950181,0.01
5901606,0.02
3542311,0.01
3935529,0.02
5901610,0.01
6688049,0.02
6556982,0.01
1005449,0.01
3411256,0.01
396605,0.01
920899,0.01
3935559,0.02
6123535,0.04
6425930,0.02
3149132,0.03
4066639,0.01
7343443,0.01
4066647,0.02
2755929,0.02
6950237,0.01
1051999,0.02
2493792,0.02
5770594,0.01
5901668,0.01
4984168,0.06
5246314,0.01
1183083,0.01
3411314,0.01
2338025,0.08
5770618,0.12
5377404,0.02
6032767,0.02
5770625,0.01
1052039,0.01
5115276,0.01
2100621,0.01
1969550,0.01
5901711,0.01
3542416,0.01
4722065,0.02
6819218,0.02
1707414,0.03
3479,0.01
4984218,0.02
3485,0.01
6950306,0.01
1354993,0.01
1969578,0.01
7212463,0.01
527793,0.01
3673522,0.01
5246387,0.01
2624952,0.01
2141428,0.01
5377466,0.04
7081404,0.01
1314242,0.01
2624967,0.01
5377483,0.01
2493902,0.03
2624976,0.01
1314259,0.01
4328917,0.02
6295000,0.01
1838558,0.01
4722148,0.01
4197862,0.01
2362856,0.01
6950378,0.01
1052149,0.01
3935735,0.01
1518972,0.02
1838587,0.02
5639690,0.10
1445388,0.03
5505625,0.01
3411480,0.04
1969689,0.01
3935775,0.02
527904,0.01
1183269,0.03
1052199,0.02
2756139,0.02
6950445,0.01
5983878,0.01
3935791,0.01
5115441,0.01
7081526,0.01
396855,0.01
265786,0.01
5246524,0.01
6557248,0.01
3018308,0.01
921158,0.05
6032972,0.01
4460110,0.01
2887252,0.01
6295136,0.01
7081577,0.01
1183338,0.01
5508717,0.01
3542644,0.01
5508729,0.01
4460154,0.01
3018367,0.10
5177963,0.01
4198025,0.01
6557323,0.03
6950542,0.02
6688403,0.01
134810,0.04
1314460,0.02
5770911,0.02
4460193,0.01
1445538,0.01
6164131,0.01
3935913,0.02
528046,0.01
1707695,0.01
1052340,0.02
4722360,0.01
4853435,0.02
6557377,0.02
7081668,0.01
4722377,0.01
4784759,0.05
5060217,0.01
6950612,0.01
6950613,0.01
5770967,0.01
7343833,0.01
2625242,0.02
1838811,0.01
3018470,0.01
6819559,0.02
4722409,0.01
2100972,0.01
6033137,0.01
2756338,0.08
921335,0.04
7343872,0.01
3845,0.01
1576710,0.03
6033161,0.01
1707790,0.01
3280658,0.05
790291,0.02
3411746,0.02
2887459,0.01
1082530,0.03
2887467,0.01
502049,0.01
2494255,0.02
3149616,0.02
1770120,0.02
6033202,0.01
6426421,0.01
2756414,0.01
7212863,0.01
5640002,0.03
5508941,0.01
3411790,0.03
921423,0.02
4089686,0.01
1576792,0.01
790361,0.01
1970013,0.05
921439,0.01
3542882,0.12
3149676,0.01
397169,0.04
2232181,0.01
266105,0.01
3805062,0.02
1183628,0.01
4591501,0.01
7344017,0.04
4329362,0.01
3805082,0.03
5771174,0.01
1071089,0.01
5902250,0.01
2363307,0.01
528309,0.02
3976521,0.02
2756541,0.01
397250,0.01
6164419,0.03
3805132,0.01
2494413,0.02
2494426,0.01
2756583,0.01
5902315,0.02
6819824,0.01
3018738,0.04
1052664,0.01
5902329,0.01
5462015,0.03
6164480,0.03
3146411,0.02
5509125,0.04
3411976,0.01
2625549,0.29
2232336,0.01
4413443,0.11
2710504,0.01
790554,0.01
2796890,0.01
3805215,0.01
4391600,0.03
4135,0.01
4591657,0.01
2494506,0.01
2363435,0.01
790573,0.01
3674159,0.01
546824,0.01
1577013,0.01
2625590,0.02
2101305,0.02
5115965,0.01
528446,0.02
197301,0.01
4984897,0.01
2625602,0.01
3543108,0.01
6688837,0.02
2534753,0.01
4329544,0.01
659532,0.01
1052751,0.03
2359992,0.01
5509202,0.04
5746019,0.01
2887783,0.10
5640296,0.01
135273,0.01
4329600,0.01
5090667,0.02
4460680,0.02
2625674,0.01
5771403,0.01
1577101,0.01
5116051,0.01
1314966,0.01
2076015,0.01
6295708,0.01
790688,0.02
528545,0.01
6426787,0.01
5378212,0.02
266409,0.01
5178057,0.01
4762996,0.02
1577148,0.03
6951106,0.01
2363591,0.01
135371,0.02
3805392,0.02
2232530,0.01
5902550,0.01
6951127,0.02
1446104,0.02
5771491,0.01
1008348,0.02
1577189,0.01
6295786,0.01
4500861,0.03
921842,0.01
528628,0.02
3936501,0.01
135414,0.01
1315068,0.01
7082239,0.01
1970432,0.01
659713,0.01
2625796,0.01
525014,0.01
3936526,0.01
528657,0.01
3412243,0.01
528662,0.01
5509404,0.02
2625822,0.02
5509408,0.01
3674402,0.02
1970471,0.01
4198696,0.01
4591918,0.02
5640499,0.02
5767902,0.01
3190153,0.01
4408,0.01
634250,0.01
659786,0.01
7213388,0.02
2363727,0.02
1708369,0.01
1315154,0.01
5902679,0.01
2232667,0.01
3674461,0.01
2101600,0.01
397669,0.01
659814,0.01
3412332,0.02
659825,0.02
6295926,0.01
1839481,0.02
4854138,0.01
4985212,0.01
3255701,0.02
1839492,0.01
397705,0.01
5640588,0.01
5378445,0.01
397712,0.01
2625937,0.01
1577366,0.01
4592024,0.01
5247390,0.02
3805599,0.01
2494880,0.01
2338203,0.01
6427049,0.01
6641735,0.98
2232749,0.02
2101678,0.01
2494898,0.01
5378483,0.01
397748,0.01
4198839,0.01
2363832,0.04
6558142,0.02
4329920,0.01
6951368,0.02
5378513,0.02
659923,0.01
4329943,0.01
6033881,0.01
5378522,0.04
6951389,0.04
2494944,0.01
4985315,0.01
3805672,0.01
4198889,0.01
5640682,0.01
4198893,0.01
2363886,0.02
922099,0.01
7213561,0.03
4329981,0.01
2626046,0.01
4329983,0.01
1970692,0.01
3805707,0.01
4985356,0.01
4461071,0.01
4985360,0.03
6033939,0.02
5640725,0.02
2693063,0.02
3295367,0.02
3412509,0.01
3936799,0.02
528928,0.01
3805742,0.01
7213627,0.01
5509695,0.01
5378626,0.01
4723267,0.01
3805767,0.01
1839688,0.01
4461130,0.01
3674703,0.01
6139321,0.02
1184344,0.01
5247586,0.01
4711,0.01
6165096,0.01
3150443,0.01
4067949,0.01
7082606,0.01
918292,0.01
5640830,0.01
7082623,0.01
266884,0.01
4522774,0.01
5378694,0.01
6820487,0.01
660104,0.01
1184395,0.01
2757261,0.01
3805839,0.01
3805850,0.01
5116571,0.01
3281564,0.01
6034080,0.01
7082657,0.01
6951598,0.01
7082673,0.02
2888378,0.01
3412669,0.01
6951617,0.01
4330180,0.01
398023,0.01
6034120,0.01
634316,0.03
1708747,0.01
2233036,0.01
3543758,0.02
1053391,0.01
7253454,0.02
922326,0.02
3146532,0.02
6034140,0.01
4985576,0.02
1315563,0.02
7213804,0.01
2757357,0.03
5178152,0.01
2753321,0.01
3805945,0.01
6034173,0.03
4047662,0.03
940160,0.01
4722573,0.01
2757385,0.03
4199178,0.01
6820621,0.01
6689551,0.01
3150609,0.01
4199190,0.03
1486297,0.02
1978893,0.01
5772062,0.01
4592416,0.02
2102049,0.01
4592418,0.02
3805991,0.01
3937067,0.05
1446701,0.01
1053487,0.01
5903163,0.04
6165308,0.02
660285,0.01
1971009,0.01
6165317,0.01
3937095,0.03
791372,0.03
3019598,0.01
1577810,0.01
1005710,0.05
4854618,0.01
136034,0.01
4854628,0.01
4854630,0.01
3937127,0.01
2495339,0.01
5265554,0.01
2495342,0.01
6820720,0.01
6500655,0.01
3937138,0.01
7345011,0.01
922485,0.06
5903230,0.05
6034303,0.01
5247873,0.03
4330371,0.01
6034308,0.02
6820742,0.01
1840009,0.01
3937166,0.01
5772177,0.03
5641107,0.01
1446806,0.01
3019671,0.01
5378969,0.02
6034331,0.02
1184668,0.01
1446814,0.01
5903263,0.03
4985761,0.06
7213989,0.01
922535,0.01
2888617,0.01
6951852,0.01
3675058,0.02
4068281,0.01
6427580,0.01
2757565,0.01
3150785,0.01
4670205,0.01
2626500,0.01
3675080,0.01
2102217,0.01
4461521,0.01
1446874,0.04
6427620,0.05
3150823,0.01
5811708,0.01
3281899,0.01
398317,0.01
4461556,0.01
5641207,0.05
2626554,0.01
3714562,0.02
1053710,0.01
6689809,0.01
1315861,0.02
267287,0.01
529433,0.01
7345181,0.01
6427683,0.01
1644198,0.02
4457308,0.01
2364458,0.01
398381,0.04
791608,0.01
6820928,0.01
1446984,0.01
3806281,0.02
2626636,0.04
6034513,0.01
918371,0.01
1971286,0.02
1053783,0.03
267354,0.01
1971297,0.01
5772397,0.01
2265360,0.01
1709168,0.01
3675250,0.01
1447027,0.01
3019893,0.01
3150966,0.01
567562,0.02
2233467,0.01
6034562,0.02
4461701,0.02
3413127,0.01
136328,0.01
1053833,0.01
2364557,0.01
1447055,0.05
3282069,0.02
5903510,0.01
1464516,0.01
5295,0.01
3937458,0.02
3806395,0.01
1053885,0.02
7214271,0.01
5903556,0.01
136393,0.01
5379274,0.01
4592846,0.01
6821071,0.01
2757842,0.01
5117139,0.02
5117143,0.03
3806427,0.02
1971422,0.01
3020003,0.01
6296810,0.01
6860327,0.02
1053934,0.01
660719,0.01
2495731,0.01
6816638,0.01
6860329,0.01
6969556,0.02
4330752,0.01
6296837,0.01
5248269,0.04
3020048,0.01
4461844,0.01
529686,0.01
3544344,0.02
4199710,0.01
791842,0.03
1578275,0.02
6952228,0.01
2889007,0.01
131976,0.02
4068658,0.01
7083315,0.01
2250368,0.01
1971514,0.01
1447228,0.02
5379391,0.01
109294,0.01
3806533,0.01
136519,0.01
136520,0.01
1316170,0.02
5452,0.01
6821200,0.01
1486392,0.01
88291,0.01
5772628,0.01
17640,0.01
6821214,0.03
6690144,0.01
6296929,0.01
6165862,0.01
7345512,0.01
6821228,0.01
3544432,0.01
5134568,0.01
3806587,0.01
4724093,0.01
2753429,0.01
7214464,0.01
6034817,0.01
7345538,0.01
2889097,0.01
136588,0.02
7254695,0.08
1316241,0.01
437827,0.01
4199829,0.01
5248406,0.01
4593049,0.01
4330908,0.02
852890,0.01
1540860,0.01
4068774,0.02
4937970,0.01
5551,0.01
7083441,0.01
529842,0.01
6559155,0.01
7083448,0.01
3937722,0.01
2233789,0.03
5248446,0.01
529856,0.03
2495937,0.02
5484107,0.01
7345610,0.01
5248459,0.01
7083469,0.01
6034898,0.02
7083475,0.04
6559190,0.01
4593113,0.01
1840605,0.02
2627044,0.01
923111,0.01
1971688,0.01
4724204,0.01
1054192,0.02
7345649,0.01
3937781,0.01
6095785,0.01
4593144,0.01
6559225,0.01
3020285,0.04
6821374,0.01
3806720,0.04
2789116,0.01
4724245,0.03
4855321,0.01
3020317,0.01
5510686,0.01
6952492,0.01
398893,0.01
5772847,0.01
3937840,0.01
2627123,0.01
2291396,0.02
1709637,0.01
3282509,0.01
3413583,0.04
2233938,0.01
3282515,0.01
3806811,0.02
2102877,0.01
4200036,0.01
3806821,0.02
3675750,0.06
4200045,0.01
3544690,0.01
656318,0.01
3937910,0.01
6821500,0.01
5117566,0.01
6428287,0.01
661121,0.01
5510789,0.01
136838,0.02
4331146,0.01
3020427,0.02
5510799,0.01
1447569,0.01
3020437,0.01
267927,0.03
1316504,0.06
1709725,0.02
5248670,0.01
661152,0.01
4069025,0.07
4724388,0.02
5248678,0.02
5510827,0.01
3675821,0.05
4724400,0.02
3806898,0.02
1709747,0.01
3806901,0.01
4855483,0.01
5904060,0.01
1840832,0.02
5117639,0.01
2758347,0.04
923343,0.01
2365136,0.01
6821586,0.01
3037475,0.01
7214809,0.01
2889438,0.02
268000,0.01
3938020,0.02
5641957,0.01
4200166,0.01
1442769,0.01
2993788,0.01
2889453,0.01
1054447,0.01
661233,0.01
2365175,0.02
6952698,0.01
4195285,0.01
4331264,0.03
2627329,0.01
6166287,0.01
661270,0.03
5353092,0.01
5248796,0.01
3020578,0.01
5702620,0.01
1049565,0.01
5379888,0.01
4217139,0.01
5904180,0.02
3020601,0.01
1840959,0.01
6952778,0.01
923467,0.01
1578837,0.02
923480,0.02
268121,0.01
6821722,0.02
3413858,0.01
2234211,0.03
3544933,0.01
3758396,0.01
2496366,0.03
4326376,0.01
399220,0.01
6838590,0.01
2496375,0.01
7346045,0.01
44693,0.01
6297473,0.01
6690690,0.01
4986758,0.01
1447817,0.01
4069263,0.01
5379992,0.04
4593561,0.02
1578906,0.03
399260,0.02
1185694,0.06
4986786,0.01
2234276,0.02
6139548,0.08
1447850,0.01
6166443,0.01
394226,0.01
4069296,0.02
792498,0.01
4069301,0.01
5642166,0.02
5117880,0.01
4724667,0.01
6035390,0.01
661439,0.01
1316802,0.01
2496452,0.01
1578952,0.01
1185741,0.01
4069331,0.01
3938262,0.01
1316824,0.01
5117917,0.03
2103267,0.01
3151844,0.02
6559718,0.01
2889709,0.05
