uid,get_then_use_coupon
10224366,0.15
11010800,3.50
12583665,1.40
262898,0.15
1311475,0.30
14942964,0.40
7078647,0.15
11535098,0.15
13107966,0.70
14680831,0.06
6554369,0.80
1049346,0.15
6554371,1.20
2884356,0.15
4981511,0.15
3932936,0.70
13413164,0.17
12583698,0.14
12583700,0.15
14156565,0.15
14156566,1.40
10748699,0.15
12321566,0.15
14680864,0.17
3932961,1.20
10486565,0.15
5417777,0.70
11273000,0.15
4195115,0.40
11797300,0.15
12670431,0.30
13108031,0.15
1835840,3.50
6816577,0.70
2097988,0.15
14854966,1.60
15335564,1.20
2097994,1.20
13632331,0.40
3933006,0.70
6204216,0.33
10224466,0.29
11010900,0.15
14156631,0.60
5768028,0.15
12321631,0.15
6554465,0.40
13108066,0.15
4457316,0.15
14680933,0.15
10486631,0.40
3670889,1.40
15205231,1.20
14418800,0.70
5768050,0.15
10224499,2.80
10224500,0.15
3233257,0.15
2360184,0.15
13370233,0.15
14943099,0.70
13108098,0.60
13108100,0.70
12845964,2.10
12059533,4.00
263054,1.20
13632399,0.30
13632400,0.15
11490798,0.20
11010966,0.70
4457369,0.15
2622362,0.20
13894565,0.15
14680998,1.00
4457384,0.40
12059564,0.15
1049518,0.40
14418864,0.80
15248200,2.10
15205298,0.30
948,0.15
12757833,0.15
12583864,0.50
14943165,0.70
2360254,0.15
10748864,0.03
1441952,0.15
13488032,0.15
1049540,0.40
3451724,0.70
12846031,0.70
13632466,0.15
15205331,0.20
15205332,0.15
15205333,0.70
2622424,0.15
11011033,0.40
3933146,0.14
12583899,0.12
14943198,0.40
12945200,0.10
11535332,0.70
12321765,0.15
3933158,0.30
13108199,0.30
10486764,0.15
12846064,0.15
14418931,0.70
263156,0.15
11797499,0.80
12583933,0.15
14156798,0.15
14156800,1.33
1573889,0.15
10748931,0.15
10748933,0.50
12321800,0.15
13108233,0.15
10486799,0.15
10486800,0.15
525335,0.30
349700,0.15
12583965,0.15
10748966,0.40
13108264,1.40
6030379,0.70
1311788,0.20
2228402,0.15
1049648,0.15
5243960,0.15
4195388,0.10
3408966,0.30
2709004,0.60
13108299,0.30
14681164,0.70
4195406,0.40
11273300,0.70
13632598,0.15
13632599,0.15
4195421,0.15
12584031,0.11
5244012,1.50
10486899,0.30
12059764,0.70
6816888,0.15
15205500,1.20
10224765,0.50
6554755,0.70
14156932,0.50
14156933,0.40
14943366,0.30
13108365,2.10
13108366,0.50
14681231,0.15
525456,1.40
3671187,1.40
11273365,0.15
15205532,2.10
14943398,0.15
14943400,0.15
11535531,0.15
12321964,0.15
14681265,0.15
1202,0.30
5768372,0.15
11273399,0.40
525497,0.30
1574079,0.15
13370564,0.21
5112012,0.15
1049802,0.20
1049804,0.40
7079119,0.15
14681298,0.30
14681300,0.15
3933399,0.60
7341277,1.20
15205598,0.25
2884833,0.15
11011299,0.40
2622692,0.22
14157031,0.40
14943464,0.15
3881955,0.70
12322031,0.15
14681331,0.15
5768436,2.10
11273464,0.15
7209172,0.70
7079162,0.57
13632764,0.15
10224900,0.15
11797765,0.25
7341318,0.38
13977199,0.15
4456663,0.11
4500355,0.15
13108500,0.15
15467798,0.67
787741,0.70
10224932,0.40
11797799,0.15
13370666,0.15
13675399,0.70
1049903,0.17
10749233,0.20
7341366,0.14
11273531,2.10
4982076,0.15
4982078,0.15
14419265,0.15
4457795,2.80
15205700,2.10
10224966,0.15
11011400,0.15
11797833,1.40
14943564,0.15
13108565,0.15
13108566,0.15
13894999,0.15
11273564,0.40
12060000,0.15
14419298,0.15
10225000,0.15
1573095,1.40
14157165,0.15
14943598,0.70
1529405,0.15
14943600,0.15
1394,0.15
13108599,0.43
14986133,0.25
13632900,0.15
525701,0.30
10225031,0.40
11011464,0.70
11011466,0.15
12584332,0.20
3409294,0.12
12976366,0.50
11273633,0.30
13632931,0.15
10225065,0.15
3409324,0.17
263600,2.00
1458,0.70
2228468,0.60
14681532,0.60
15467966,0.27
10487231,0.30
11273664,0.30
12060100,0.15
2097398,0.70
6030790,0.30
1902980,0.15
2885069,0.15
2360784,1.20
5506515,2.40
3671511,0.40
13108698,1.20
13895131,0.15
14681564,0.15
15379365,0.80
15468000,0.15
13632998,0.17
15205864,2.10
4325628,0.75
11535864,0.60
10749433,0.15
3147260,0.40
13108733,1.20
14681598,1.20
4982271,0.15
3409408,0.85
12060164,1.40
3409415,0.15
12846600,0.15
14419466,0.15
1551,0.15
6816003,0.15
3671577,0.30
4195870,0.33
4720162,1.00
10487332,0.15
12060198,0.15
14419498,0.33
1574446,0.36
11011631,0.03
10225200,0.20
11798065,0.90
12584500,0.15
14943800,0.15
4458041,0.15
2098751,0.15
11273799,0.30
2885192,0.25
4720201,0.11
2403255,0.42
15205964,0.15
5768782,0.30
11403533,0.17
788050,1.40
12584532,3.50
14157399,0.15
5768796,0.15
13633131,0.70
12846700,0.15
6030958,0.15
10225265,0.67
11798132,0.60
13371000,2.00
1658,0.80
11536000,0.38
4195970,0.14
15468165,0.15
7079559,0.15
11273865,1.20
11273866,0.15
14419598,0.15
15206033,0.38
11011732,0.36
14157465,1.40
14592965,0.15
13895333,0.25
10487466,0.70
12846766,0.15
15206065,0.15
3933875,0.40
10225332,0.50
12584632,0.15
5506745,0.15
10749632,0.40
12583200,0.15
10422532,1.00
14681799,1.40
6031058,0.15
12584665,0.40
7341787,0.15
7079644,0.80
10749664,0.15
14330832,2.80
10749666,0.57
13108964,2.10
10748198,0.22
13895400,0.60
6817513,0.50
10487531,0.15
11273964,0.15
5506797,0.15
12932733,0.17
14419700,0.70
15206133,0.15
10225400,0.27
12015232,0.40
3409666,0.70
11536132,1.40
11536133,0.15
13107500,0.15
14681866,0.12
526091,0.15
10487566,0.15
14419732,0.40
15206165,1.40
1312534,0.15
2623257,0.70
11798300,0.62
12584733,0.08
2623267,0.70
13109033,0.15
10487598,1.20
10487600,0.36
3934001,0.30
12060466,0.15
14419766,0.15
10225464,0.70
10225466,0.15
11011900,0.15
11798333,0.33
13371198,0.70
1836864,0.15
14944065,0.15
10749766,1.60
11536199,1.60
15029900,0.15
7079759,1.40
6293328,5.60
11274065,0.70
2885458,0.15
6817619,0.25
12060500,0.30
7165582,0.30
13633366,0.60
14419800,0.80
1312604,0.15
11798366,0.15
14944099,0.40
10749799,0.60
1836905,0.40
12322666,0.15
13895531,0.40
1048893,0.15
11274099,0.50
6293364,2.10
15206264,0.15
10225533,1.40
11798398,0.75
12584832,0.15
3934083,0.70
12277398,0.15
4720521,0.08
1050506,0.15
13369666,2.10
14682000,0.15
15468433,1.40
11274133,1.20
12060566,0.15
5769111,1.40
13633433,0.40
2623386,0.70
10225566,2.40
1312671,0.15
13371299,0.60
13371300,0.15
14944165,0.80
1312685,0.70
6555566,0.40
5244847,0.15
12060598,1.60
12060599,0.40
11798465,0.15
14157766,0.15
10749900,0.60
12015266,0.50
10487764,0.15
12847064,0.60
15206364,0.43
2099166,0.15
10225632,0.15
11403600,0.70
12584932,0.70
13371366,1.40
5769193,0.30
1837035,1.40
2623468,0.70
2885614,0.15
1354749,1.40
2361328,0.15
13224564,0.50
3409907,0.70
10487800,0.15
14419964,0.25
4720637,0.11
15206400,0.15
12777500,0.15
13371399,0.12
14944265,0.15
10749966,0.70
3147796,1.40
4196376,0.15
11274265,0.50
13633564,1.40
2361377,0.15
11798564,0.15
3934245,0.30
12584998,2.10
5769256,0.30
14944299,0.60
3147820,0.15
12322866,1.40
13895731,0.15
13895733,0.20
3409974,0.15
15468599,0.15
6641332,0.70
1574973,0.15
13633598,0.15
4982847,0.15
15206464,0.12
14420033,0.25
7080003,0.25
4196420,0.70
11012165,1.40
788556,0.70
10750033,0.33
2135,2.10
13369700,0.15
264282,0.70
5769308,1.40
11274333,0.42
1837152,0.11
14420065,0.15
15206498,1.40
7342179,0.15
15206500,0.70
5245030,0.15
11798631,0.15
6422887,1.20
10750064,0.70
11536499,0.70
11536500,3.50
14682233,0.70
11274364,0.40
10487933,1.60
15206532,0.40
11012232,0.60
14811500,0.75
6817943,0.15
526488,0.15
6031515,0.15
10487964,0.12
12060833,0.60
6728731,0.15
15206565,0.15
1312934,0.40
12585132,0.33
14157998,0.09
6817967,0.46
6555827,0.15
10750133,0.15
13109433,0.30
10488000,0.07
12060866,0.15
14420166,0.15
7342279,0.15
10225864,0.15
10225865,0.15
10797898,0.15
2927650,0.15
14158032,0.80
2623698,0.80
14724131,0.12
2885845,0.15
15468765,0.15
10488031,0.15
5245154,0.50
5769445,0.30
526566,0.30
6031591,0.15
11316264,1.50
14944498,0.15
5507315,0.90
2099444,0.40
10750198,0.67
10750199,0.15
13895932,0.70
2885885,0.70
14682366,0.15
15468799,0.70
1575168,0.15
11274499,0.15
7342340,1.40
2885894,0.15
4631596,0.15
11012364,1.40
11798800,0.15
11536665,0.60
13109531,0.20
3771023,1.80
2623776,0.70
3148065,0.15
12060966,1.40
13633831,0.15
14636764,0.15
526637,0.44
11012398,0.40
11798831,0.15
12585265,0.15
4196658,0.70
14944565,0.90
14944566,0.15
5245241,1.60
3934525,0.15
13896000,2.80
11274564,0.70
7342415,0.15
14158165,0.15
12323164,1.25
788829,0.70
13109598,0.15
1575264,0.15
11709499,0.15
10488166,1.60
11274599,0.08
12847465,0.50
11097831,0.80
13633900,0.75
4983149,2.10
4458862,0.15
4282088,0.70
10005566,0.40
12976532,0.15
6685077,0.15
13896065,0.70
4238401,0.40
12061065,0.50
4983182,0.15
15206799,0.40
5769619,1.80
11012500,0.30
14944666,1.80
10750364,0.11
11536798,0.15
1354821,0.17
12323233,0.15
14682532,0.15
6818214,0.50
10488233,0.70
12847531,2.10
10226098,0.80
10226099,0.15
10226100,0.80
11798966,0.15
6597705,0.15
2906768,0.15
14944699,0.90
2099644,0.50
2886077,0.40
12323264,0.15
655776,0.80
3410377,0.40
10488266,0.50
1575372,0.70
5245390,0.50
13195000,4.00
11012565,2.20
13371864,0.40
14158298,0.43
12323298,0.70
12323299,0.15
13109732,1.40
13896165,0.25
14682598,0.15
11274731,0.15
11274733,0.67
1051119,0.17
10879400,0.15
12585464,0.15
13371899,0.15
6556160,2.80
12932864,0.25
10748331,0.15
13896200,0.40
12847633,0.15
2578,0.14
15206933,0.70
7342615,0.15
3934746,0.15
5245468,0.70
1051165,0.15
12323364,0.70
12323365,0.25
13109799,0.15
13896232,0.15
4721193,0.15
13371966,0.12
2732277,0.30
12323398,0.33
13109833,0.15
2272354,0.20
10488398,0.70
2361940,1.50
3410517,0.70
14420566,0.15
11799131,0.15
11799132,0.11
12585565,0.70
12585566,0.40
264800,0.15
3672673,0.15
10750565,0.60
10750566,0.60
12539665,0.15
13109864,0.25
5507690,0.15
14724200,1.29
4721266,1.20
12061300,0.70
14420598,0.15
14420600,2.10
1575546,1.50
10226300,1.40
789119,0.17
1313410,0.15
1051270,0.70
2695,0.25
13109899,0.15
14682764,0.25
15469200,0.08
11274898,0.15
13634199,0.56
5507736,0.15
13675631,0.70
1313438,0.30
2723,0.15
14944932,1.60
11537064,0.15
3934890,0.80
13896366,0.70
4983474,0.15
10488500,0.20
7080629,0.60
3934902,0.70
12847799,0.11
1051322,1.00
15207099,0.67
527044,0.17
6556357,0.15
2316065,1.40
3672778,0.15
6294220,0.20
10488532,0.70
11274965,0.20
12061398,0.80
13634264,1.00
366712,0.15
6818526,0.40
6556386,1.40
1313508,0.15
12015398,0.10
6294250,0.15
14682866,0.15
12847865,0.60
4197120,0.15
14374699,0.25
13372166,0.40
14158599,0.70
527117,0.15
13110033,0.67
4983574,2.40
10488599,0.30
11275032,0.15
2362143,0.15
3148577,0.15
10226466,0.60
14158631,0.15
2886442,0.30
1051436,0.15
10750765,0.15
10750766,0.50
12323631,1.40
4459313,0.70
14682931,0.15
14682932,2.10
10488632,0.40
12539700,1.40
6032189,0.15
15207231,0.15
14420800,0.15
10226498,0.40
11799364,0.15
11316364,0.90
6032202,0.17
14945100,0.15
11537231,0.70
1837913,0.15
11275100,0.15
13634400,0.15
11012964,0.14
15120365,0.29
11799399,0.40
11799400,0.15
2971452,1.60
2362218,0.20
5507950,0.15
10750831,2.80
11537265,3.50
3410802,0.15
13110131,0.70
3672950,2.00
15469432,0.80
1575803,0.15
10573632,0.33
10226564,0.15
855544,0.15
4459398,0.15
13372298,1.60
13372299,0.20
13544600,2.50
11537299,1.20
4983700,0.15
13896598,0.70
15469466,1.40
11275164,0.14
12061599,0.33
4459424,0.15
13634465,0.60
11799465,0.15
13372332,0.70
14158765,0.25
14158766,1.60
10750898,0.03
11537331,0.40
12323764,0.12
5155998,1.40
6556600,0.40
13896633,0.15
10488765,0.15
1617056,2.80
1051588,0.15
789445,0.90
10226632,0.22
5508041,0.15
12585931,0.15
13372366,0.70
527312,0.90
11537366,0.15
4194809,0.15
3410906,0.70
11275231,0.30
1838050,0.15
15207399,0.15
10226666,0.15
11799532,0.70
13372400,0.25
14158833,0.25
12323831,0.15
12323832,0.12
13110265,0.20
3673084,0.15
13765799,0.15
6294527,0.15
12061698,0.90
12848131,0.50
15207433,0.40
3148810,0.70
14112599,0.15
1051664,0.15
13372433,0.40
527378,0.70
7080979,0.70
7343125,0.70
12323864,0.15
12323865,0.70
14683165,0.15
14683166,0.15
11275298,0.15
11275299,0.15
11275300,0.40
13372465,0.15
14945333,1.40
3148854,0.15
12583433,0.70
4459578,0.80
4459579,0.20
13896764,0.50
7081025,0.15
2886724,0.15
12061765,0.08
6294598,1.50
13634631,0.60
13634633,0.15
6375301,0.70
11054264,0.70
14945366,0.40
11537499,0.50
13110366,0.70
11275366,0.15
15117500,0.15
14421098,0.15
12321298,0.15
3146259,0.08
12586100,0.80
14945400,2.25
11537531,0.10
12323964,0.30
11403799,0.15
11799699,0.57
4983957,0.70
13282500,0.40
4721827,0.15
15469733,0.14
10488998,0.15
10488999,0.33
10489000,0.70
14421164,0.80
14421165,0.17
11799731,0.15
3935414,0.10
13372599,16.80
3148988,0.15
13110464,0.15
3673281,0.15
2886850,0.15
14683331,2.10
1313990,0.15
10489031,0.15
5508296,0.15
10489033,0.15
2796749,1.50
5246170,0.15
3411165,0.40
13896933,0.25
4721894,0.78
15469800,0.19
12061933,0.15
6556911,0.90
11797032,1.80
11013366,1.20
1051895,0.50
12586232,0.14
3673339,0.15
14945532,0.15
13896964,0.80
11275533,0.20
4197647,1.40
14421264,0.15
1576211,0.70
527636,0.15
6556949,0.40
7081244,0.15
11537699,0.15
11537700,2.40
15469866,0.15
10748466,2.10
6032687,0.15
2100530,1.60
11534899,0.15
11799864,0.70
14945599,0.15
10751299,0.70
13897031,0.15
15469899,0.15
10489164,1.40
11709666,0.40
12062031,0.40
14333198,0.15
14421331,0.15
11944764,1.14
15207765,0.25
1051990,0.15
1051998,0.60
6557023,0.15
4984162,0.15
655931,0.15
3411300,1.40
1052006,0.70
13110632,0.19
1576297,0.15
14683498,0.10
10489199,0.80
11275632,1.20
12062065,0.30
13634933,0.15
11487532,0.80
1052026,0.15
14159233,0.07
11537798,0.15
11537799,9.10
6466797,0.15
11275665,0.15
6819218,0.70
12848532,0.22
11141700,0.15
4197786,0.80
10227099,0.44
11622299,0.80
10751399,0.80
2362794,0.15
13897133,1.50
7343535,0.70
11797064,0.15
6032821,0.15
2624952,0.38
5508542,0.30
12586432,0.30
14945732,1.40
11537864,0.15
2100682,0.80
524877,0.70
14683600,0.70
6819281,0.50
3149266,0.40
1314259,0.60
12848598,0.70
14421464,0.09
14421465,0.54
5385936,0.15
11360165,1.20
14159333,0.15
4197862,0.80
11537898,0.12
11537900,0.15
13897198,0.15
11275765,0.30
10136831,0.15
14421500,0.25
4460031,1.00
11800065,0.27
2887171,0.50
14481598,0.70
13897233,0.40
1314322,0.09
12062231,0.30
2141444,0.70
12848666,0.70
14421531,0.70
10227231,0.15
527911,0.40
14159400,1.60
1576489,0.17
1529778,0.70
6557231,0.25
13897265,0.60
14683699,1.40
10489400,0.15
14421564,0.15
1314365,0.15
4197950,0.15
11013699,0.20
13399199,0.17
10751565,0.15
10751566,0.15
11753400,0.15
3673685,0.08
2625112,0.15
14418532,0.15
6032987,1.40
790112,0.15
15208033,0.40
790114,0.15
11800165,0.30
13806865,0.15
12586600,1.40
3935851,0.15
11538032,0.15
13195199,2.80
14768064,1.40
6819470,0.15
11538065,0.15
13110931,2.10
15470231,0.70
14683800,0.30
5508761,0.15
2363036,0.80
12062365,0.70
12848799,0.15
265891,1.20
2884209,0.15
2887338,0.30
1576621,0.15
14331166,0.15
13897398,0.30
10489532,1.40
265920,0.15
5680416,1.11
6033090,0.33
4582872,0.29
11800266,0.15
4369698,0.27
4151245,0.14
10751700,0.15
5770967,0.15
2625242,0.15
15470300,0.20
1169818,0.40
12062431,0.90
12802000,0.80
4984552,0.15
12586731,2.10
7343857,0.15
13897464,0.15
13897466,0.80
11276032,1.40
4719232,0.14
3845,0.15
13373200,0.15
1576728,0.15
4722465,0.15
3411746,0.70
4460324,0.17
13635366,0.15
7081769,0.80
10227498,0.90
10227499,0.80
11013932,0.40
4020189,0.40
14159666,0.30
14946099,0.22
2363191,0.15
7343928,0.18
13806900,1.20
1052475,0.17
14683964,0.33
15470399,0.80
10489665,0.15
12062531,0.40
14421831,0.15
14421832,0.17
15208266,2.10
11013965,0.15
13373264,0.70
3411793,0.29
266072,0.70
266075,0.15
14683999,0.40
14684000,0.15
5246821,0.15
12848998,1.20
13635431,0.15
13635433,1.40
14421866,0.09
10227565,0.44
7081838,0.15
11013999,0.83
2709480,0.15
266098,0.15
13111165,1.40
14684031,0.40
3673984,2.10
6819713,0.15
2447339,0.15
12849031,1.40
13635465,1.40
4722570,0.15
790411,0.15
10207700,0.15
528271,1.50
13373333,0.15
14946198,0.70
4722583,0.15
10751899,1.20
13894298,0.40
14684064,0.15
15470498,0.15
1576871,0.15
11276200,0.75
12849065,0.15
2363307,0.15
13635500,0.50
11014064,0.70
5246901,0.70
6295478,0.70
1314745,0.70
13111232,0.15
14549664,0.43
13457398,0.80
10489798,0.15
1222200,0.15
14421964,0.50
11800531,0.18
5246932,0.30
13373400,0.75
5246938,4.20
12324831,0.12
14724432,0.70
2887652,0.15
13632166,0.15
10489833,0.60
12849132,0.90
2447357,1.40
14422000,0.15
3936242,0.15
11800564,0.15
14946300,1.40
2101245,0.15
1314814,0.70
3674111,0.15
14684166,0.70
13635600,0.43
11800598,0.60
6033431,2.10
266264,0.90
12587033,0.17
14159898,0.40
2101277,0.30
12583600,0.15
12324898,0.15
13897764,0.17
12062765,0.12
12849199,3.90
13635633,0.15
14422066,0.15
1314871,0.15
4984888,0.30
528443,0.70
14946364,1.40
10752066,0.40
11538499,1.50
12324933,1.40
10489931,0.70
11276365,0.70
266319,0.70
12062800,0.20
696,0.15
5771346,0.25
790612,0.70
13373532,0.15
12015632,0.15
10752098,0.15
12324965,0.60
15470699,0.25
12062832,0.15
3412081,1.14
14422132,0.15
1314934,0.15
11014265,0.15
5509244,0.70
14159999,1.40
14946432,0.70
2101377,0.15
2625666,0.15
13111431,1.20
1052808,0.15
13897865,0.15
14684299,0.33
11272898,0.15
5505731,0.15
13635733,0.17
3674265,0.15
6819995,0.15
11800732,0.80
14003064,2.80
14160033,0.14
14946466,0.15
11753499,2.80
13897898,0.50
15470765,2.80
1052846,0.15
4198576,0.15
11276465,0.50
13635766,0.70
14160064,0.15
1792032,0.40
14946498,0.15
528583,0.17
13111498,0.15
4985036,1.50
12408866,0.70
1315022,2.10
3936463,0.25
10490064,0.70
10490065,0.22
12062932,0.60
5525626,0.70
2625750,0.30
13635800,0.15
10227931,1.11
10227932,0.15
14160098,0.55
14946531,0.37
2101476,0.67
5509355,0.40
10879698,0.56
15470833,0.70
10879699,0.04
13635833,0.30
15208698,0.70
2887934,0.70
11014399,1.60
11800833,0.15
14160132,0.12
3412229,0.15
10752265,0.15
10752266,2.40
13111564,0.33
15470865,0.80
11276565,0.15
6295841,0.08
5247266,0.15
13373732,0.25
11538732,0.40
2625838,0.15
13111599,0.40
13898033,0.15
3674423,0.33
11276600,0.15
10228033,2.10
6820175,1.40
13635931,0.15
2101600,0.15
350267,0.15
12587364,0.15
14946665,0.30
5247338,0.15
10752365,1.40
12325232,0.15
1315185,0.15
12234131,0.75
5771639,1.40
6033788,0.15
4326122,0.15
14422398,0.15
14422400,1.00
3539692,0.30
6033805,0.40
10752398,0.15
12325265,0.30
13111700,0.15
15470998,0.15
12063131,2.10
3150239,1.40
1492816,0.15
14422433,0.15
10228131,0.15
11014564,0.25
11797233,0.15
6295976,0.15
12587433,0.75
13373866,1.20
2101675,0.22
11538864,0.15
13898165,0.15
14684600,0.70
5247421,2.40
15208898,0.15
790979,1.80
5247430,0.70
7082441,0.67
13373899,0.45
14331298,0.80
1315280,0.15
10752466,0.15
13111764,0.15
13898198,0.33
14684632,0.40
6033881,1.40
15471066,0.33
11276765,0.15
3674591,0.70
15208932,3.50
6296040,0.25
12587498,0.70
4827312,0.06
5228848,0.15
11538931,0.15
2101750,0.14
14684664,0.15
14684665,0.15
11276799,0.15
12063232,0.70
13636100,0.70
3412485,0.70
2888199,0.70
11014666,0.15
11801100,1.40
3150349,0.15
12325400,0.11
15471131,0.15
15208998,0.15
10967132,0.15
12587566,2.40
13373999,0.15
528944,0.80
7340808,0.15
3674675,0.70
5771828,0.70
10752565,1.60
12325431,0.15
13111864,0.15
13111865,0.70
11276864,0.15
10490433,0.15
12063298,0.70
12063299,0.24
6558281,0.15
4461130,0.40
11014732,1.40
12587600,0.25
13374033,0.15
4693,0.15
10752598,0.15
11539033,0.15
13195366,0.15
14422632,0.70
15209065,0.15
1577579,0.15
10228332,1.40
3412590,1.40
5509744,0.40
12587633,0.60
6296181,0.29
266871,0.14
13898364,0.17
4985469,0.70
10093333,0.15
3936896,0.15
11276931,0.15
11276932,2.10
1835798,0.15
3150471,2.80
14422666,0.15
10228366,0.15
13374099,0.60
14160533,0.15
6558360,0.15
13111964,0.25
6296221,0.15
3107697,0.15
12849833,0.70
10228398,0.15
10228400,0.15
13374131,0.15
12587700,0.80
13374133,0.60
6034103,0.20
11229300,0.56
2888378,0.15
11539131,0.30
13111999,0.40
13898432,1.20
13894432,1.40
15471299,0.15
15101400,0.67
2364102,0.15
791239,0.15
12063432,0.40
12849865,0.09
13636299,0.14
14422732,0.15
11801298,0.70
13374164,6.00
13374165,2.40
13374166,0.15
12190500,0.50
12325600,0.17
2101985,0.15
10490600,3.20
12849898,1.40
13636331,1.40
11801332,0.70
12587765,0.15
14947064,1.20
14947066,0.70
10752765,0.15
10661333,0.80
2626304,0.15
12325633,1.40
13898498,0.29
2102021,0.70
11277065,0.70
2888459,0.15
12849932,0.15
15209231,0.15
6820624,0.15
11801365,0.15
11801366,0.15
12587799,0.15
13501232,1.00
14684964,0.25
14684965,0.15
11382832,0.70
2626346,0.60
3937069,0.15
14422831,0.60
4723506,0.15
11014964,0.20
12587831,1.40
4723518,0.15
791359,0.15
11539264,0.15
12325699,1.40
13112133,0.15
6467041,0.40
11277132,0.90
12063566,0.15
2888538,0.12
13374299,0.15
14160732,0.15
12933264,0.15
13112166,0.70
13898600,2.25
5509993,0.10
12063598,0.30
12850031,0.15
15209332,0.40
10228598,0.60
3937145,0.25
14160766,0.15
6296448,1.40
267138,0.15
5418475,0.75
11539332,0.15
2888583,0.80
13898632,1.40
3937166,0.17
